?cls	?xref
<http://purl.obolibrary.org/obo/UBERON_0000977>	"FMA:9583"
<http://purl.obolibrary.org/obo/UBERON_0000977>	"VHOG:0000394"
<http://purl.obolibrary.org/obo/UBERON_0000977>	<http://www.snomedbrowser.com/Codes/Details/181609007>
<http://purl.obolibrary.org/obo/UBERON_0000977>	<http://linkedlifedata.com/resource/umls/id/C0032225>
<http://purl.obolibrary.org/obo/UBERON_0000977>	"MESH:D010994"
<http://purl.obolibrary.org/obo/UBERON_0002530>	"FMA:7146"
<http://purl.obolibrary.org/obo/UBERON_0002530>	<http://en.wikipedia.org/wiki/Gland>
<http://purl.obolibrary.org/obo/UBERON_0002530>	"FMA:86294"
<http://purl.obolibrary.org/obo/UBERON_0002530>	"galen:Gland"
<http://purl.obolibrary.org/obo/UBERON_0002530>	"EHDAA:2161"
<http://purl.obolibrary.org/obo/UBERON_0002530>	"UMLS:C1285092"
<http://purl.obolibrary.org/obo/UBERON_0002530>	"HAO:0000375"
<http://purl.obolibrary.org/obo/UBERON_0002530>	"AEO:0000096"
<http://purl.obolibrary.org/obo/UBERON_0002530>	<http://www.snomedbrowser.com/Codes/Details/134358001>
<http://purl.obolibrary.org/obo/UBERON_0002530>	"EFO:0000797"
<http://purl.obolibrary.org/obo/UBERON_0002530>	"EHDAA2:0003096"
<http://purl.obolibrary.org/obo/UBERON_0002530>	"OpenCyc:Mx4rwP3vyJwpEbGdrcN5Y29ycA"
<http://purl.obolibrary.org/obo/UBERON_0002530>	"FBbt:00100317"
<http://purl.obolibrary.org/obo/UBERON_0002530>	"MA:0003038"
<http://purl.obolibrary.org/obo/UBERON_0002530>	"MGI:csmith"
<http://purl.obolibrary.org/obo/UBERON_0002530>	"EMAPA:18425"
<http://purl.obolibrary.org/obo/UBERON_0002530>	"BTO:0000522"
<http://purl.obolibrary.org/obo/UBERON_0002530>	"WikipediaCategory:Glands"
<http://purl.obolibrary.org/obo/UBERON_0002530>	"NCIT:C13319"
<http://purl.obolibrary.org/obo/UBERON_0002530>	"MIAA:0000021"
<http://purl.obolibrary.org/obo/UBERON_0002530>	<http://orcid.org/0000-0002-6601-2165>
<http://purl.obolibrary.org/obo/UBERON_0002530>	"EHDAA:4475"
<http://purl.obolibrary.org/obo/UBERON_0002530>	"EHDAA:6522"
<http://purl.obolibrary.org/obo/UBERON_0002530>	"AAO:0000212"
<http://purl.obolibrary.org/obo/UBERON_0002530>	"MAT:0000021"
<http://purl.obolibrary.org/obo/UBERON_0002530>	<http://linkedlifedata.com/resource/umls/id/C1285092>
<http://purl.obolibrary.org/obo/UBERON_0002530>	"MP:0002163"
<http://purl.obolibrary.org/obo/UBERON_0000104>	"ncithesaurus:Life"
<http://purl.obolibrary.org/obo/UBERON_0000104>	"MmusDv:0000001"
<http://purl.obolibrary.org/obo/UBERON_0000104>	"HsapDv:0000001"
<http://purl.obolibrary.org/obo/UBERON_0000104>	"OGES:000011"
<http://purl.obolibrary.org/obo/UBERON_0000104>	"FBdv:00000000"
<http://purl.obolibrary.org/obo/UBERON_0000996>	<http://en.wikipedia.org/wiki/Vagina>
<http://purl.obolibrary.org/obo/UBERON_0000996>	"MAT:0000128"
<http://purl.obolibrary.org/obo/UBERON_0000996>	"EFO:0000976"
<http://purl.obolibrary.org/obo/UBERON_0000996>	"galen:Vagina"
<http://purl.obolibrary.org/obo/UBERON_0000996>	"NCIT:C12407"
<http://purl.obolibrary.org/obo/UBERON_0000996>	"MA:0000394"
<http://purl.obolibrary.org/obo/UBERON_0000996>	"EMAPA:18986"
<http://purl.obolibrary.org/obo/UBERON_0000996>	"FMA:19949"
<http://purl.obolibrary.org/obo/UBERON_0000996>	<http://linkedlifedata.com/resource/umls/id/C0042232>
<http://purl.obolibrary.org/obo/UBERON_0000996>	"VHOG:0001138"
<http://purl.obolibrary.org/obo/UBERON_0000996>	"EV:0100117"
<http://purl.obolibrary.org/obo/UBERON_0000996>	<http://orcid.org/0000-0002-6601-2165>
<http://purl.obolibrary.org/obo/UBERON_0000996>	"UMLS:C0042232"
<http://purl.obolibrary.org/obo/UBERON_0000996>	"MESH:D014621"
<http://purl.obolibrary.org/obo/UBERON_0000996>	"BTO:0000243"
<http://purl.obolibrary.org/obo/UBERON_0000996>	"GAID:381"
<http://purl.obolibrary.org/obo/UBERON_0000996>	"OpenCyc:Mx4rvVj1B5wpEbGdrcN5Y29ycA"
<http://purl.obolibrary.org/obo/UBERON_0000996>	"CALOHA:TS-1103"
<http://purl.obolibrary.org/obo/UBERON_0000996>	<http://www.snomedbrowser.com/Codes/Details/181441005>
<http://purl.obolibrary.org/obo/UBERON_0000996>	"MIAA:0000128"
<http://purl.obolibrary.org/obo/UBERON_0013756>	"FMA:83067"
<http://purl.obolibrary.org/obo/UBERON_0013756>	"OBOL:automatic"
<http://purl.obolibrary.org/obo/UBERON_0000479>	"WBbt:0005729"
<http://purl.obolibrary.org/obo/UBERON_0000479>	<http://uri.neuinfo.org/nif/nifstd/birnlex_19>
<http://purl.obolibrary.org/obo/UBERON_0000479>	"VHOG:0001757"
<http://purl.obolibrary.org/obo/UBERON_0000479>	"galen:Tissue"
<http://purl.obolibrary.org/obo/UBERON_0000479>	"CARO:0000043"
<http://purl.obolibrary.org/obo/UBERON_0000479>	"EMAPA:35868"
<http://purl.obolibrary.org/obo/UBERON_0000479>	<http://linkedlifedata.com/resource/umls/id/C0040300>
<http://purl.obolibrary.org/obo/UBERON_0000479>	"EHDAA2:0003043"
<http://purl.obolibrary.org/obo/UBERON_0000479>	"AAO:0000607"
<http://purl.obolibrary.org/obo/UBERON_0000479>	"TGMA:0001844"
<http://purl.obolibrary.org/obo/UBERON_0000479>	"ZFA:0001477"
<http://purl.obolibrary.org/obo/UBERON_0000479>	"MESH:D014024"
<http://purl.obolibrary.org/obo/UBERON_0000479>	"FMA:9637"
<http://purl.obolibrary.org/obo/UBERON_0000479>	"FBbt:00007003"
<http://purl.obolibrary.org/obo/UBERON_0000479>	"NCIT:C12801"
<http://purl.obolibrary.org/obo/UBERON_0000479>	"TAO:0001477"
<http://purl.obolibrary.org/obo/UBERON_0000479>	"UMLS:C0040300"
<http://purl.obolibrary.org/obo/UBERON_0000479>	"AEO:0000043"
<http://purl.obolibrary.org/obo/UBERON_0000479>	"XAO:0003040"
<http://purl.obolibrary.org/obo/UBERON_0000479>	"CALOHA:TS-2090"
<http://purl.obolibrary.org/obo/UBERON_0000479>	"HAO:0000043"
<http://purl.obolibrary.org/obo/UBERON_0000479>	"MA:0003002"
<http://purl.obolibrary.org/obo/UBERON_0000479>	"BILA:0000043"
<http://purl.obolibrary.org/obo/UBERON_0000479>	"AAO:0010054"
<http://purl.obolibrary.org/obo/UBERON_0010000>	"CARO:0010000"
<http://purl.obolibrary.org/obo/UBERON_0010000>	"FBbt:00100313"
